id,name,category,price,rating,reviewCount,image,description,trending,width,height,depth,images,features,styles,tags,colors
59514941,HYLTARP Sofa,Three-seat sofas,1249,4.3,89,https://www.ikea.com/us/en/images/products/hyltarp-sofa-hemmesta-light-beige__1193808_pe901635_s5.jpg,"HYLTARP Sofa - Hemmesta light beige. Skillful craftsmanship and a perfect fit means that the sofa will always shows off its best side. This cover, made from Hemmesta cotton and polyester fabric, has a lot of character with texture, irregular yarns and colors that go tone-on-tone.",True,91,36,36,https://www.ikea.com/us/en/images/products/hyltarp-sofa-hemmesta-light-beige__1193808_pe901635_s5.jpg|https://www.ikea.com/us/en/images/products/hyltarp-sofa-hemmesta-light-beige__1193807_pe901634_s5.jpg|https://www.ikea.com/us/en/images/products/hyltarp-sofa-hemmesta-light-beige__1194008_pe901760_s5.jpg|https://www.ikea.com/us/en/images/products/hyltarp-sofa-hemmesta-light-beige__1194009_pe901761_s5.jpg|https://www.ikea.com/us/en/images/products/hyltarp-sofa-hemmesta-light-beige__1256064_pe924900_s5.jpg,"HYLTARP Sofa - Hemmesta light beige|Skillful craftsmanship and a perfect fit means that the sofa will always shows off its best side|This cover, made from Hemmesta cotton and polyester fabric, has a lot of character with texture, irregular yarns and colors that go tone-on-tone.",Modern,luxury,light beige
19514957,HYLTARP Sofa,Three-seat sofas,1249,4.3,89,https://www.ikea.com/us/en/images/products/hyltarp-sofa-tallmyra-white-black__1193818_pe901627_s5.jpg,HYLTARP Sofa - Tallmyra white/black. Skillful craftsmanship and a perfect fit means that the sofa will always shows off its best side. Tallmyra is a hardwearing chenille cover made of cotton and polyester and has a soft surface and a slightly reflective luster.,True,91,36,36,https://www.ikea.com/us/en/images/products/hyltarp-sofa-tallmyra-white-black__1193818_pe901627_s5.jpg|https://www.ikea.com/us/en/images/products/hyltarp-sofa-tallmyra-white-black__1193817_pe901644_s5.jpg|https://www.ikea.com/us/en/images/products/hyltarp-sofa-tallmyra-white-black__1194018_pe901770_s5.jpg|https://www.ikea.com/us/en/images/products/hyltarp-sofa-tallmyra-white-black__1194019_pe901771_s5.jpg|https://www.ikea.com/us/en/images/products/hyltarp-sofa-tallmyra-white-black__1256064_pe924900_s5.jpg,HYLTARP Sofa - Tallmyra white/black|Skillful craftsmanship and a perfect fit means that the sofa will always shows off its best side|Tallmyra is a hardwearing chenille cover made of cotton and polyester and has a soft surface and a slightly reflective luster.,Modern,luxury,black
70512243,LINANÄS Sofa,Sofas with chaise lounge,499,3.1,147,https://www.ikea.com/us/en/images/products/linanaes-sofa-with-chaise-vissle-dark-gray__1013908_pe829460_s5.jpg,"LINANÄS Sofa - with chaise/Vissle dark gray. This cover is made from Vissle fabric in polyester, which is dope-dyed. It’s a durable material with a smooth weave and a nice two-tone effect. 10 year Limited warranty. Read about the terms in the warranty brochure. Stationary cover.",False,77,29,31,https://www.ikea.com/us/en/images/products/linanaes-sofa-with-chaise-vissle-dark-gray__1013908_pe829460_s5.jpg|https://www.ikea.com/us/en/images/products/linanaes-sofa-with-chaise-vissle-dark-gray__1013910_pe829462_s5.jpg|https://www.ikea.com/us/en/images/products/linanaes-sofa-with-chaise-vissle-dark-gray__1013909_pe829463_s5.jpg|https://www.ikea.com/us/en/images/products/linanaes-sofa-with-chaise-vissle-dark-gray__1013911_pe829461_s5.jpg|https://www.ikea.com/us/en/images/products/linanaes-sofa-with-chaise-vissle-dark-gray__0970317_pe811027_s5.jpg|https://www.ikea.com/us/en/images/products/linanaes-sofa-with-chaise-vissle-dark-gray__0962406_pe808063_s5.jpg|https://www.ikea.com/us/en/images/products/linanaes-sofa-with-chaise-vissle-dark-gray__0962407_pe808062_s5.jpg|https://www.ikea.com/us/en/images/products/linanaes-sofa-with-chaise-vissle-dark-gray__0982918_pe815810_s5.jpg|https://www.ikea.com/us/en/images/products/linanaes-sofa-with-chaise-vissle-dark-gray__1040266_pe840628_s5.jpg,"LINANÄS Sofa - with chaise/Vissle dark gray|This cover is made from Vissle fabric in polyester, which is dope-dyed|It’s a durable material with a smooth weave and a nice two-tone effect|10 year Limited warranty|Read about the terms in the warranty brochure",Modern,durable,dark gray
60512234,LINANÄS Sofa,Sofas with chaise lounge,499,3.1,147,https://www.ikea.com/us/en/images/products/linanaes-sofa-with-chaise-vissle-beige__1013903_pe829455_s5.jpg,"LINANÄS Sofa - with chaise/Vissle beige. This cover is made from Vissle fabric in polyester, which is dope-dyed. It’s a durable material with a smooth weave and a nice two-tone effect. 10 year Limited warranty. Read about the terms in the warranty brochure. Stationary cover.",False,77,29,31,https://www.ikea.com/us/en/images/products/linanaes-sofa-with-chaise-vissle-beige__1013903_pe829455_s5.jpg|https://www.ikea.com/us/en/images/products/linanaes-sofa-with-chaise-vissle-beige__1013906_pe829458_s5.jpg|https://www.ikea.com/us/en/images/products/linanaes-sofa-with-chaise-vissle-beige__1013905_pe829459_s5.jpg|https://www.ikea.com/us/en/images/products/linanaes-sofa-with-chaise-vissle-beige__1013907_pe829457_s5.jpg|https://www.ikea.com/us/en/images/products/linanaes-sofa-with-chaise-vissle-beige__0970315_pe811026_s5.jpg|https://www.ikea.com/us/en/images/products/linanaes-sofa-with-chaise-vissle-beige__0972127_pe811547_s5.jpg|https://www.ikea.com/us/en/images/products/linanaes-sofa-with-chaise-vissle-beige__0970316_pe811025_s5.jpg|https://www.ikea.com/us/en/images/products/linanaes-sofa-with-chaise-vissle-beige__1013904_pe829456_s5.jpg|https://www.ikea.com/us/en/images/products/linanaes-sofa-with-chaise-vissle-beige__1040266_pe840628_s5.jpg,"LINANÄS Sofa - with chaise/Vissle beige|This cover is made from Vissle fabric in polyester, which is dope-dyed|It’s a durable material with a smooth weave and a nice two-tone effect|10 year Limited warranty|Read about the terms in the warranty brochure",Modern,durable,beige
586096,STOCKHOLM 2025 Sofa,Three-seat sofas,1999,4.6,47,https://www.ikea.com/us/en/images/products/stockholm-2025-sofa-sundhamn-beige__1362734_pe955310_s5.jpg,"STOCKHOLM 2025 Sofa - Sundhamn beige. A simple yet elegant design with generous proportions, beautiful natural materials and a visible wooden frame that creates a robust expression. A pocket spring core gives the sofa long-lasting comfort and helps it maintain its original shape year after year.",False,91,36,40,https://www.ikea.com/us/en/images/products/stockholm-2025-sofa-sundhamn-beige__1362734_pe955310_s5.jpg|https://www.ikea.com/us/en/images/products/stockholm-2025-sofa-sundhamn-beige__1421377_ph203023_s5.jpg|https://www.ikea.com/us/en/images/products/stockholm-2025-sofa-sundhamn-beige__1431614_ph203253_s5.jpg|https://www.ikea.com/us/en/images/products/stockholm-2025-sofa-sundhamn-beige__1421309_ph203159_s5.jpg|https://www.ikea.com/us/en/images/products/stockholm-2025-sofa-sundhamn-beige__1431609_ph203024_s5.jpg|https://www.ikea.com/us/en/images/products/stockholm-2025-sofa-sundhamn-beige__1397429_pe967563_s5.jpg,"STOCKHOLM 2025 Sofa - Sundhamn beige|A simple yet elegant design with generous proportions, beautiful natural materials and a visible wooden frame that creates a robust expression|A pocket spring core gives the sofa long-lasting comfort and helps it maintain its original shape year after year.","Scandinavian,Rustic,Minimalist,Glam","luxury,elegant,minimalist",beige
69589993,KLIPPAN Loveseat,Loveseats,329,4.0,236,https://www.ikea.com/us/en/images/products/klippan-loveseat-tingetorp-yellow-white-floral-pattern__1401744_pe969072_s5.jpg,"KLIPPAN Loveseat - Tingetorp yellow/white/floral pattern. Durable metal springs in the seat give the sofa a springy comfort, allowing you to sit, relax and enjoy it for many years. 10 year Limited warranty. Read about the terms in the warranty brochure.",True,0,0,0,https://www.ikea.com/us/en/images/products/klippan-loveseat-tingetorp-yellow-white-floral-pattern__1401744_pe969072_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-tingetorp-yellow-white-floral-pattern__1414337_pe974760_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-tingetorp-yellow-white-floral-pattern__1414338_pe974762_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-tingetorp-yellow-white-floral-pattern__0719395_pe732044_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-tingetorp-yellow-white-floral-pattern__0562987_pe663640_s5.jpg,"KLIPPAN Loveseat - Tingetorp yellow/white/floral pattern|Durable metal springs in the seat give the sofa a springy comfort, allowing you to sit, relax and enjoy it for many years|10 year Limited warranty|Read about the terms in the warranty brochure.",Industrial,durable,pattern
9010617,KLIPPAN Loveseat,Loveseats,299,4.0,237,https://www.ikea.com/us/en/images/products/klippan-loveseat-vissle-gray__0239990_pe379591_s5.jpg,"KLIPPAN Loveseat - Vissle gray. Durable metal springs in the seat give the sofa a springy comfort, allowing you to sit, relax and enjoy it for many years. This cover is made from Vissle fabric in polyester, which is dope-dyed. It’s a durable material with a smooth weave and a nice two-tone effect.",True,70,26,34,https://www.ikea.com/us/en/images/products/klippan-loveseat-vissle-gray__0239990_pe379591_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-vissle-gray__0820948_pe709146_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-vissle-gray__0820907_pe709145_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-vissle-gray__0721437_ph143338_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-vissle-gray__0721439_ph151991_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-vissle-gray__0820947_pe585607_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-vissle-gray__0820504_pe643241_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-vissle-gray__0562987_pe663640_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-vissle-gray__0719395_pe732044_s5.jpg,"KLIPPAN Loveseat - Vissle gray|Durable metal springs in the seat give the sofa a springy comfort, allowing you to sit, relax and enjoy it for many years|This cover is made from Vissle fabric in polyester, which is dope-dyed|It’s a durable material with a smooth weave and a nice two-tone effect.",Industrial,durable,gray
69564290,KLIPPAN Loveseat,Loveseats,349,4.0,236,https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-red__1315050_pe940372_s5.jpg,"KLIPPAN Loveseat - Långban bright red. Part of the Nytillverkad collection where several IKEA classics have been given a new look. Hallsta cover was first shown on the cover of our 1984 catalogue. Now, 40 years later, it has been given a new life under the name Långban.",True,70,26,34,https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-red__1315050_pe940372_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-red__1340080_ph198656_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-red__1340081_ph198667_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-red__1340092_ph198678_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-red__1340139_ph198691_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-red__1315049_pe940374_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-red__1315056_pe940378_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-red__1315055_pe940380_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-red__0562987_pe663640_s5.jpg,"KLIPPAN Loveseat - Långban bright red|Part of the Nytillverkad collection where several IKEA classics have been given a new look|Hallsta cover was first shown on the cover of our 1984 catalogue|Now, 40 years later, it has been given a new life under the name Långban.",Traditional,"stylish,functional",red
39564277,KLIPPAN Loveseat,Loveseats,349,4.0,236,https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-yellow__1315048_pe940369_s5.jpg,"KLIPPAN Loveseat - Långban bright yellow. Part of the Nytillverkad collection where several IKEA classics have been given a new look. Hallsta cover was first shown on the cover of our 1984 catalogue. Now, 40 years later, it has been given a new life under the name Långban.",True,70,26,34,https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-yellow__1315048_pe940369_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-yellow__1340075_ph198664_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-yellow__1340066_ph198668_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-yellow__1340092_ph198678_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-yellow__1340139_ph198691_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-yellow__1315047_pe940370_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-yellow__1315054_pe940376_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-yellow__1315053_pe940375_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-yellow__0562987_pe663640_s5.jpg,"KLIPPAN Loveseat - Långban bright yellow|Part of the Nytillverkad collection where several IKEA classics have been given a new look|Hallsta cover was first shown on the cover of our 1984 catalogue|Now, 40 years later, it has been given a new life under the name Långban.",Traditional,"stylish,functional",yellow
29564287,KLIPPAN Loveseat,Loveseats,349,4.0,237,https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-blue__1315052_pe940371_s5.jpg,"KLIPPAN Loveseat - Långban bright blue. Part of the Nytillverkad collection where several IKEA classics have been given a new look. Hallsta cover was first shown on the cover of our 1984 catalogue. Now, 40 years later, it has been given a new life under the name Långban.",True,70,26,34,https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-blue__1315052_pe940371_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-blue__1340148_ph198665_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-blue__1340149_ph198666_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-blue__1340092_ph198678_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-blue__1340139_ph198691_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-blue__1315051_pe940373_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-blue__1315058_pe940377_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-blue__1315057_pe940379_s5.jpg|https://www.ikea.com/us/en/images/products/klippan-loveseat-langban-bright-blue__0562987_pe663640_s5.jpg,"KLIPPAN Loveseat - Långban bright blue|Part of the Nytillverkad collection where several IKEA classics have been given a new look|Hallsta cover was first shown on the cover of our 1984 catalogue|Now, 40 years later, it has been given a new life under the name Långban.",Traditional,"stylish,functional",blue
